BY-0011-small_airport-Aerodrom Belz--EU-UA-UA-46-----"23.9648804- 50.3771921"
RU-2098-closed-Mukachevo Air Base-390-EU-UA-UA-21-Mukachev----"22.683300018310547- 48.400001525878906"
UA-0001-closed-Borodyanka Air Base-463-EU-UA-UA-32-Borodyanka----"29.915000915527344- 50.66699981689453"
UA-0002-small_airport-Brody Air Base-787-EU-UA-UA-46-Brody----"25.170000076293945- 50.130001068115234"
UA-0003-small_airport-Chernihiv Air Base-446-EU-UA-UA-74-Chernihiv----"31.316699981689453- 51.54999923706055"
UA-0004-closed-Pustogorod Air Base-636-EU-UA-UA-59-Hlukhiv----"34.04999923706055- 51.849998474121094"
UA-0005-medium_airport-Nizhyn Air Base-440-EU-UA-UA-74-Nizhyn----"31.8709945679- 51.0885353088"
UA-0006-closed-Kornych Air Base--EU-UA-UA-26-----"25.125- 48.52899932861328"
UA-0007-closed-Kolomiya Airport--EU-UA-UA-26-Kolomiya----"25.04199981689453- 48.55099868774414"
UA-0008-closed-Chortkiv Air Base--EU-UA-UA-61-Chortkiv----"25.742000579833984- 48.97800064086914"
UA-0009-small_airport-Gora Klementyeva Airfield--EU-UA-UA-43-Otvazhnoye----"35.209999084472656- 45.02000045776367"
UA-0010-medium_airport-Oktyabrskoe Air Base--EU-UA-UA-43-Oktyabrskoe----"34.099998474121094- 45.31999969482422"
UA-0011-closed-Karankut Air Base-52-EU-UA-UA-43-Volnoye----"34.282001- 45.577999"
UA-0012-medium_airport-Kirovskoe Air Base--EU-UA-UA-43-Kirovskoe----"35.18299865722656- 45.16699981689453"
UA-0013-small_airport-Risovoye Airfield--EU-UA-UA-43-Krasnoperekopsk----"33.680999755900004- 45.99599838259999"
UA-0014-closed-Donuzlav Air Base--EU-UA-UA-43-Mirnyi----"33.04999923706055- 45.32699966430664"
UA-0015-closed-Perekop Airfield--EU-UA-UA-43-Armyansk----"33.71699905395508- 46.15800094604492"
UA-0016-small_airport-Yukharina Balka Airfield--EU-UA-UA-40-Sevastopol----"33.4879989624- 44.5509986877"
UA-0017-closed-Genichesk Air Base--EU-UA-UA-65-Genichesk----"34.76499938964844- 46.20899963378906"
UA-0018-small_airport-Khersones Air Base--EU-UA-UA-40-Sevastopol----"33.3950004578- 44.5800018311"
UA-0019-closed-Bagerovo Air Base--EU-UA-UA-43-Bagerovo----"36.244998931884766- 45.40700149536133"
UA-0020-medium_airport-Melitopol Air Base--EU-UA-UA-23-Melitopol-UKDM---"35.305- 46.880001"
UA-0021-small_airport-Skadovsk Airport--EU-UA-UA-65-Skadovsk----"32.909000396728516- 46.12699890136719"
UA-0022-medium_airport-Kacha Air Base-403-EU-UA-UA-43-Sevastopol-UKFA---"33.57- 44.779999"
UA-0023-closed-Chkalovskiy Airfield--EU-UA-UA-43-----"35.202999114990234- 45.073001861572266"
UA-0024-closed-Askaniya-Nova Airport--EU-UA-UA-65-----"33.724998474121094- 46.41999816894531"
UA-0025-medium_airport-Bila Tserkva Airfield--EU-UA-UA-32-Bila Tserkva----"30.030000686645508- 49.79499816894531"
UA-0026-closed-Blagoyevo Air Base--EU-UA-UA-51-Petrovka----"30.700000762939453- 46.89500045776367"
UA-0027-small_airport-Bliznyuki Air Base--EU-UA-UA-63-Lozovaya----"36.54999923706055- 48.87699890136719"
UA-0028-medium_airport-Zhovtneve Air Base--EU-UA-UA-51-Bolgrad----"28.670000076293945- 45.63999938964844"
UA-0029-medium_airport-Bolshoy Tokmak Air Base--EU-UA-UA-23-Tokmak----"35.709999084472656- 47.28499984741211"
